Name;Place;type;Lenght;bundX;bundY;bundZ;topX;topY;topZ;rotateZ;ledLength;StartUniverseNW;StartUniverseNE;StartUniverseSE;StartUniverseSW;StartChannel
00-B10;10;QuadLED;1500;25856;7143;655;25856;7143;2155;45;108;224;226;228;230;1
00-C10;10;QuadLED;1000;25653;7192;655;25653;7192;1655;45;108;232;234;236;238;1
00-A11;11;QuadLED;2000;26801;7593;583;26801;7593;2583;45;144;240;242;244;246;1
00-B11;11;QuadLED;1500;26672;7496;655;26672;7496;2155;45;108;248;250;252;254;1
00-C11;11;QuadLED;1000;26732;7667;655;26732;7667;1655;45;108;256;258;260;262;1
01-A12;12;QuadLED;3000;25721;7766;964;25721;7766;3964;45;216;264;266;268;270;1
01-B12;12;QuadLED;1500;25839;7661;1143;25839;7661;2643;45;108;272;274;276;278;1
01-C12;12;QuadLED;1500;25785;7914;1143;25785;7914;2643;45;108;280;282;284;286;1
01-A13;13;QuadLED;2000;26597;7151;1044;26597;7151;3044;45;144;288;290;292;294;1
01-B13;13;QuadLED;1500;26709;7260;1143;26709;7260;2643;45;108;296;298;300;302;1
01-C13;13;QuadLED;1000;26441;7212;1143;26441;7212;2143;45;108;304;306;308;310;1
02-A14;14;QuadLED;2000;697;5564;1425;697;5564;3425;45;144;312;314;316;318;1
02-B14;14;QuadLED;1500;571;5458;1440;571;5458;2940;45;108;320;322;324;326;1
02-C14;14;QuadLED;1000;829;5619;1517;829;5619;2517;45;72;328;330;332;334;1
02-A15;15;QuadLED;2000;795;5158;1425;795;5158;3425;45;144;336;338;340;342;1
02-B15;15;QuadLED;1500;849;5049;1473;849;5049;2973;45;108;344;346;348;350;1
02-C15;15;QuadLED;1000;916;5224;1493;916;5224;2493;45;72;352;354;356;358;1
02-A16;16;QuadLED;2000;590;4755;1425;590;4755;3425;45;144;360;362;364;366;1
02-B16;16;QuadLED;1500;768;4660;1447;768;4660;2947;45;108;368;370;372;374;1
02-C16;16;QuadLED;1000;673;4820;1514;673;4820;2514;45;72;376;378;380;382;1
02-A17;17;QuadLED;2000;898;4177;1350;898;4177;3350;45;144;384;386;388;390;1
02-B17;17;QuadLED;1500;943;4292;1465;943;4292;2965;45;108;392;394;396;398;1
02-C17;17;QuadLED;1000;750;4048;1483;750;4048;2483;45;72;400;402;404;406;1
02-A18;18;QuadLED;2000;1415;4361;1350;1415;4361;3350;45;144;408;410;412;414;1
02-B18;18;QuadLED;1500;1332;4251;1462;1332;4251;2962;45;108;416;418;420;422;1
02-C18;18;QuadLED;1000;1447;4527;1479;1447;4527;2479;45;72;424;426;428;430;1
02-A19;19;QuadLED;3000;1800;4448;1281;1800;4448;4281;45;216;432;434;436;438;1
02-B19;19;QuadLED;1500;1929;4345;1473;1929;4345;2973;45;108;440;442;444;446;1
02-C19;19;QuadLED;1500;1751;4576;1461;1751;4576;2961;45;108;448;450;452;454;1
02-A20;20;QuadLED;3000;1679;4949;1283;1679;4949;4283;45;216;456;458;460;462;1
02-B20;20;QuadLED;1500;1798;4881;1475;1798;4881;2975;45;108;464;466;468;470;1
02-C20;20;QuadLED;1000;1579;4843;1462;1579;4843;2462;45;72;472;474;476;478;1
02-A21;21;QuadLED;3000;1898;4994;1283;1898;4994;4283;45;216;480;482;484;486;1
02-B21;21;QuadLED;1000;1935;4719;1504;1935;4719;2504;45;72;488;490;492;494;1
02-A22;22;QuadLED;2000;2462;4345;1417;2462;4345;3417;45;144;496;498;500;502;1
02-B22;22;QuadLED;1500;2352;4218;1480;2352;4218;2980;45;108;504;506;508;510;1
02-C22;22;QuadLED;1000;2536;4249;1505;2536;4249;2505;45;72;512;514;516;518;1
02-A23;23;QuadLED;2000;2643;4494;1417;2643;4494;3417;45;144;520;522;524;526;1
02-B23;23;QuadLED;1500;2557;4578;1461;2557;4578;2961;45;108;528;530;532;534;1
02-C23;23;QuadLED;1500;2727;4306;1472;2727;4306;2972;45;108;536;538;540;542;1
02-A24;24;QuadLED;2000;2824;4575;1417;2824;4575;3417;45;144;544;546;548;550;1
02-B24;24;QuadLED;1000;2875;4639;1498;2875;4639;2498;45;72;552;554;556;558;1
02-A25;25;QuadLED;2000;3004;4502;1417;3004;4502;3417;45;144;560;562;564;566;1
02-B25;25;QuadLED;1500;3089;4539;1463;3089;4539;2963;45;108;568;570;572;574;1
02-C25;25;QuadLED;1500;3115;4347;1482;3115;4347;2982;45;108;576;578;580;582;1
02-A26;26;QuadLED;3000;3307;4392;1281;3307;4392;4281;45;216;584;586;588;590;1
02-B26;26;QuadLED;1500;3306;4270;1460;3306;4270;2960;45;108;592;594;596;598;1
02-C26;26;QuadLED;1000;3440;4453;1474;3440;4453;2474;45;72;600;602;604;606;1
02-A27;27;QuadLED;3000;3652;4888;1281;3652;4888;4281;45;216;608;610;612;614;1
02-B27;27;QuadLED;1500;3624;4984;1465;3624;4984;2965;45;108;616;618;620;622;1
02-C27;27;QuadLED;1500;3489;4738;1474;3489;4738;2974;45;108;624;626;628;630;1
02-A28;28;QuadLED;2000;3287;5148;1357;3287;5148;3357;45;144;632;634;636;638;1
02-B28;28;QuadLED;1500;3159;5062;1460;3159;5062;2960;45;108;640;642;644;646;1
02-C28;28;QuadLED;1000;3404;5205;1467;3404;5205;2467;45;72;648;650;652;654;1
02-A29;29;QuadLED;3000;2767;5274;1281;2767;5274;4281;45;216;656;658;660;662;1
02-B29;29;QuadLED;1500;2840;5199;1472;2840;5199;2972;45;108;664;666;668;670;1
02-C29;29;QuadLED;1500;2683;5425;1464;2683;5425;2964;45;108;672;674;676;678;1
